order,heading,roll,pitch,ax,ay,az
275,359.75,1.1875,25.5,0.0,-0.01,-0.03
276,359.75,1.1875,25.5,0.0,-0.01,-0.03
277,359.75,1.1875,25.5,0.01,0.0,-0.02
278,359.75,1.1875,25.5,0.0,-0.01,-0.03
279,359.75,1.1875,25.5,0.0,-0.01,-0.03
280,359.75,1.1875,25.5,0.01,0.0,-0.05
281,359.75,1.1875,25.5,0.01,0.0,-0.01
282,359.75,1.1875,25.5,0.0,-0.02,-0.02
283,359.75,1.1875,25.5,0.0,-0.01,0.0
284,359.75,1.1875,25.5,0.0,-0.01,0.0
285,359.75,1.1875,25.5,0.0,0.02,-0.06
286,359.75,1.1875,25.5,0.0,0.02,-0.06
287,359.75,1.1875,25.5,0.01,0.0,-0.01
288,359.75,1.1875,25.5,0.0,0.0,-0.03
289,359.75,1.1875,25.5,0.01,-0.01,-0.06
290,359.75,1.1875,25.5,0.01,-0.01,-0.06
291,359.75,1.1875,25.5,0.01,0.0,-0.06
292,359.75,1.1875,25.5,0.01,0.0,-0.01
293,359.75,1.1875,25.5,0.01,0.0,-0.01
294,359.75,1.1875,25.5,0.01,-0.01,-0.05
295,359.75,1.1875,25.5,0.01,0.0,-0.02
296,359.75,1.1875,25.5,0.02,0.0,-0.05
297,359.75,1.1875,25.5,0.02,0.0,-0.05
298,359.75,1.1875,25.5,0.01,0.0,-0.06
299,359.75,1.1875,25.5,0.0,0.0,-0.05
300,359.75,1.1875,25.5,0.0,0.0,-0.05
301,359.75,1.1875,25.5,0.01,-0.01,-0.02
302,359.75,1.1875,25.5,0.01,0.0,-0.01
303,359.75,1.1875,25.5,0.01,0.01,-0.01
304,359.75,1.1875,25.5,0.03,0.0,-0.05
305,359.75,1.1875,25.5,0.03,0.0,-0.05
306,359.75,1.1875,25.5,0.01,-0.01,-0.03
307,359.75,1.1875,25.5,0.01,-0.01,-0.01
308,359.75,1.1875,25.5,0.01,-0.01,-0.01
309,359.75,1.1875,25.5,0.01,-0.02,-0.04
310,359.75,1.1875,25.5,0.01,0.0,-0.02
311,359.75,1.1875,25.5,0.0,0.0,-0.05
312,359.75,1.1875,25.5,0.0,0.0,-0.05
