order,heading,roll,pitch,ax,ay,az
319,311.1875,3.625,-13.6875,-2.64,3.26,8.19
320,306.8125,2.5625,-13.5,0.28,2.19,-3.37
321,304.5625,2.875,-13.4375,6.41,2.65,-3.63
322,302.125,3.1875,-13.375,6.32,5.5,-1.58
323,299.5625,3.125,-13.3125,2.94,2.53,-2.79
324,296.875,2.75,-13.375,-3.62,2.07,5.11
325,294.25,2.1875,-13.375,3.27,3.92,-4.85
326,291.875,2.125,-13.4375,5.37,1.84,0.82
327,289.5625,2.3125,-13.3125,3.07,-0.04,1.54
328,284.75,2.1875,-13.0625,2.58,4.68,2.06
329,282.375,2.0,-13.0625,0.07,-2.07,-2.45
330,280.0625,1.9375,-13.125,3.33,4.58,2.29
331,277.8125,1.9375,-13.125,2.24,3.42,-2.22
332,275.625,2.0625,-13.125,4.09,1.99,-0.27
333,273.4375,2.125,-13.125,4.05,2.37,-2.94
334,271.25,1.875,-13.125,2.8,0.75,-4.12
335,269.125,1.375,-13.25,1.58,5.52,0.75
336,267.0625,0.875,-13.25,-1.28,-1.91,1.43
337,265.0,0.625,-13.375,0.06,-0.91,1.56
338,260.9375,0.625,-13.5625,3.94,1.27,-1.58
339,258.9375,0.625,-13.5625,0.96,1.97,0.11
340,256.875,0.625,-13.5,0.63,0.34,-0.2
341,254.875,0.6875,-13.4375,2.42,0.13,0.21
342,252.875,0.6875,-13.375,-0.28,-0.07,-0.73
343,250.75,0.625,-13.4375,2.16,3.51,0.24
344,248.6875,0.5,-13.5625,0.29,1.45,-1.69
345,246.6875,0.4375,-13.625,1.0,-0.81,-2.59
346,242.875,0.5,-13.8125,5.11,1.89,-3.29
347,241.0625,0.1875,-13.8125,-1.19,-0.47,1.19
348,239.5,-0.1875,-13.875,-0.08,-0.41,-0.78
349,238.1875,-0.1875,-13.75,0.66,-2.13,-0.15
350,236.9375,-0.1875,-13.875,0.38,0.64,0.36
351,235.75,-0.3125,-13.9375,-0.26,-1.07,-0.66
352,234.6875,-0.4375,-14.125,-1.07,-2.42,0.38
353,233.75,-0.4375,-14.25,-0.68,1.41,-0.1
354,232.9375,-0.4375,-14.25,-0.26,-0.86,1.06
355,232.25,-0.4375,-14.125,-1.22,-2.31,-0.75
356,231.5625,-0.4375,-14.125,1.47,0.77,-0.04
357,231.0,-0.4375,-14.0625,0.93,-0.41,-0.53
358,230.4375,-0.4375,-14.0625,-0.61,0.41,1.88
359,229.9375,-0.5625,-14.125,0.51,-0.77,-0.13
360,229.125,-0.75,-14.3125,-0.7,-1.29,-1.16
361,228.8125,-0.75,-14.5,-0.37,2.52,1.79
362,228.5625,-0.8125,-14.4375,0.55,-0.02,-0.45
363,228.375,-0.8125,-14.375,-0.57,-1.12,-0.46
364,228.1875,-0.6875,-14.3125,0.01,-1.75,-0.54
365,227.875,-0.75,-14.3125,-0.72,-0.11,0.28
366,227.625,-0.6875,-14.375,0.1,-0.63,1.11
367,227.5,-0.625,-14.4375,0.27,0.03,0.67
368,227.375,-0.625,-14.5,-0.7,-1.61,-0.56
369,227.25,-0.625,-14.5625,0.04,-1.77,0.3
370,227.1875,-0.75,-14.4375,-1.09,-1.49,0.23
371,227.125,-0.75,-14.3125,-0.68,-0.63,-0.67
372,227.125,-0.75,-14.25,0.93,-1.11,-0.48
373,227.0,-0.8125,-14.1875,-1.24,-1.92,0.12
374,226.8125,-0.875,-14.1875,-0.56,-1.08,1.44
375,226.6875,-0.875,-14.25,1.93,0.57,-1.72
376,226.625,-0.75,-14.3125,5.01,1.12,1.03
377,226.375,-0.5,-14.3125,6.07,2.58,-2.53
378,225.0625,-0.125,-14.25,5.19,1.46,-4.34
379,224.0,-0.375,-14.375,0.78,1.9,1.64
380,222.875,-0.625,-14.5,1.75,3.86,0.33
381,221.6875,-0.75,-14.5625,2.58,1.47,-1.66
382,220.3125,-0.8125,-14.6875,0.37,1.74,1.77
383,218.9375,-0.75,-14.8125,2.47,3.13,-1.29
384,217.5,-0.75,-14.9375,1.95,0.14,-0.93
385,216.0,-0.8125,-15.0625,0.84,-1.16,-0.71
386,214.4375,-0.75,-15.0625,1.75,1.18,-0.14
387,212.875,-0.5625,-15.0625,2.88,0.25,-1.24
388,209.5,-0.625,-15.1875,0.98,1.06,0.87
389,207.75,-0.625,-15.3125,1.71,-1.66,-0.58
390,206.0,-0.4375,-15.4375,3.12,2.46,-1.09
391,204.25,-0.25,-15.5625,2.38,0.76,0.02
392,202.4375,-0.1875,-15.5625,2.76,0.16,-0.97
